Method,text,fax,Csrc,Excl,SPRC,tech,poem,html,list,man,play,Weighted,Average,S.D.
ppmD5,2.20,0.95,2.08,0.94,2.58,1.95,2.36,2.32,2.40,2.98,2.49,1.52,2.11,0.64
ppmD7,2.26,0.94,2.08,0.97,2.58,2.01,2.46,2.35,2.43,3.01,2.55,1.56,2.15,0.65
bzip-6,2.25,0.77,2.09,0.90,2.61,2.00,2.39,2.44,2.55,3.13,2.51,1.49,2.15,0.72
bzip-9,2.25,0.77,2.09,0.92,2.61,2.00,2.39,2.44,2.55,3.13,2.51,1.50,2.15,0.71
szip-b,2.24,0.80,2.15,0.83,2.64,1.98,2.37,2.44,2.61,3.24,2.51,1.46,2.16,0.74
szip,2.25,0.82,2.19,0.84,2.70,2.00,2.38,2.44,2.60,3.25,2.51,1.48,2.18,0.74
ppmC-896,2.30,0.98,2.14,1.01,2.71,2.18,2.46,2.36,2.41,2.98,2.52,1.61,2.19,0.64
ppmD3,2.31,0.99,2.11,1.08,2.68,2.19,2.48,2.38,2.43,3.00,2.53,1.65,2.20,0.62
bzip2-6,2.27,0.78,2.18,0.99,2.70,2.02,2.42,2.48,2.79,3.33,2.53,1.54,2.23,0.75
bzip-1,2.40,0.77,2.09,0.86,2.61,2.32,2.70,2.44,2.55,3.13,2.63,1.59,2.23,0.74
bzip2-9,2.27,0.78,2.18,1.01,2.70,2.02,2.42,2.48,2.79,3.33,2.53,1.54,2.23,0.75
bzip2-1,2.42,0.78,2.18,0.96,2.70,2.34,2.72,2.48,2.79,3.33,2.65,1.64,2.31,0.77
ppmCnx-896,2.39,1.02,2.26,1.27,2.90,2.23,2.51,2.51,2.59,3.20,2.63,1.75,2.32,0.64
bred-r3,2.55,0.82,2.17,1.21,2.77,2.47,2.89,2.50,2.69,3.26,2.84,1.80,2.38,0.73
dmc-50M,2.38,0.82,2.40,1.39,3.03,2.13,2.48,2.69,2.84,3.51,2.64,1.74,2.39,0.75
dmc-16M,2.38,0.82,2.40,1.44,3.03,2.13,2.48,2.69,2.84,3.51,2.64,1.76,2.40,0.74
dmc-5M,2.38,0.82,2.40,1.43,3.03,2.31,2.66,2.69,2.84,3.51,2.64,1.81,2.43,0.74
gzip-b,2.85,0.82,2.24,1.63,2.67,2.71,3.23,2.59,2.65,3.31,3.12,2.08,2.53,0.74
gzip-d,2.86,0.88,2.25,1.61,2.70,2.72,3.24,2.60,2.65,3.31,3.13,2.09,2.54,0.73
ppmC-56,3.29,0.91,2.35,1.24,3.00,3.30,3.62,3.08,2.41,2.98,3.50,2.16,2.70,0.90
gzip-f,3.43,1.02,2.63,1.90,2.96,3.26,3.80,2.94,2.89,3.53,3.63,2.46,2.91,0.82
ppmCnx-56,3.57,0.96,2.50,1.53,3.27,3.58,3.96,3.28,2.59,3.20,3.81,2.41,2.93,0.95
yabba-d,3.18,1.03,3.13,2.57,3.89,3.13,3.28,3.34,3.57,4.09,3.29,2.59,3.14,0.81
srank-d,3.66,1.14,3.13,2.03,3.68,3.49,4.02,3.68,3.41,4.23,3.89,2.65,3.31,0.92
compress,3.27,0.97,3.56,2.41,4.21,3.06,3.38,3.68,3.90,4.43,3.51,2.55,3.31,0.95
lzrw1,4.94,2.05,3.61,2.53,4.55,4.79,5.44,4.26,4.02,4.68,5.16,3.58,4.18,1.07
huffword2,3.09,2.03,4.22,4.93,6.95,2.68,3.26,5.05,4.74,5.67,3.59,3.64,4.20,1.44
char,4.59,1.22,5.14,3.58,5.38,4.68,4.54,5.31,4.96,5.20,4.83,3.64,4.49,1.20
pack,4.62,1.66,5.12,3.60,5.42,4.70,4.58,5.30,4.87,5.10,4.85,3.74,4.53,1.07
yabba512,5.31,1.36,6.12,3.44,6.64,5.42,5.13,6.66,5.32,6.03,5.62,3.94,5.19,1.54
cat,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,0.00
